Date,Open,High,Low,Close,Volume
2006-02-08,29.1,29.2,28.4,28.5,0
2006-02-09,28.4,28.45,27.95,28.1,0
2006-02-10,28.1,28.6,28.05,28.15,0
2006-02-13,28.15,28.15,27.8,28.0,0
2006-02-14,28.0,28.5,28.0,28.4,0
2006-02-15,28.4,28.6,28.25,28.25,0
2006-02-16,28.15,28.5,28.1,28.4,0
2006-02-17,28.4,28.5,28.3,28.3,0
2006-02-20,28.35,28.85,28.35,28.85,0
2006-02-21,29.2,29.25,28.8,28.8,0
2006-02-22,29.2,29.2,28.3,28.7,0
2006-02-23,28.75,29.15,28.5,28.8,0
2006-02-24,28.8,29.1,28.7,29.05,0
2006-02-27,29.05,29.55,28.75,29.55,0
2006-03-01,29.2,29.7,29.15,29.7,0
2006-03-02,29.7,29.7,29.25,29.3,0
2006-03-03,29.5,29.6,28.75,28.8,0
2006-03-06,28.8,29.0,28.7,28.75,0
2006-03-07,28.8,29.1,28.75,28.8,0
2006-03-08,28.8,29.1,28.8,28.95,0
2006-03-09,29.0,29.3,29.0,29.3,0
2006-03-10,29.25,29.3,28.7,28.8,0
2006-03-13,28.8,29.15,28.8,29.05,0
2006-03-14,29.1,29.15,28.7,29.15,0
2006-03-15,29.15,29.2,28.85,29.0,0
2006-03-16,29.0,29.1,28.7,28.85,0
2006-03-17,29.05,29.15,28.95,29.1,0
2006-03-20,29.3,29.4,29.1,29.35,0
2006-03-21,29.35,29.4,28.9,28.9,0
2006-03-22,28.9,29.0,28.75,28.85,0
2006-03-23,28.9,28.95,28.8,28.9,0
2006-03-24,28.95,29.65,28.95,29.5,0
2006-03-27,29.6,30.7,29.6,30.5,0
2006-03-28,30.5,30.55,30.1,30.5,0
2006-03-29,30.5,30.5,30.2,30.3,0
2006-03-30,30.3,30.45,30.0,30.3,0
2006-03-31,30.3,30.6,30.3,30.4,0
2006-04-03,30.45,31.2,30.45,30.95,0
2006-04-04,31.0,31.1,30.75,30.95,0
2006-04-06,31.0,31.05,30.75,31.0,0
2006-04-07,31.0,31.0,30.75,30.9,0
2006-04-10,30.95,31.55,30.9,31.2,0
2006-04-11,31.2,31.6,30.95,31.6,0
2006-04-12,31.6,31.65,30.95,31.4,0
2006-04-13,31.4,31.75,31.35,31.6,0
2006-04-14,31.6,32.0,31.6,31.95,0
2006-04-17,32.0,33.0,31.95,32.7,0
2006-04-18,32.75,32.8,31.9,32.3,0
2006-04-19,32.6,32.9,32.4,32.5,0
2006-04-20,32.5,32.7,32.2,32.2,0
2006-04-21,32.2,32.2,31.5,31.65,0
2006-04-24,31.55,32.05,31.4,31.95,0
2006-04-25,32.05,32.9,32.05,32.1,0
2006-04-26,32.45,32.6,32.3,32.55,0
2006-04-27,32.6,32.65,32.25,32.25,0
2006-04-28,31.9,32.0,30.55,31.15,0
2006-05-02,31.1,31.2,30.7,31.2,0
2006-05-03,31.3,31.6,31.2,31.6,0
2006-05-04,31.65,32.4,31.35,32.1,0
2006-05-05,32.1,32.4,31.65,32.0,0
2006-05-08,32.1,32.35,32.05,32.15,0
2006-05-09,32.1,32.3,31.65,31.9,0
2006-05-10,31.7,32.1,31.7,32.0,0
2006-05-11,31.7,32.3,31.7,32.25,0
2006-05-12,32.25,32.3,31.9,32.25,0
2006-05-15,32.0,32.05,31.45,31.45,0
2006-05-16,31.4,31.4,30.5,30.6,0
2006-05-17,30.6,31.2,30.55,31.1,0
2006-05-18,30.3,30.65,30.0,30.3,0
2006-05-19,30.3,31.2,30.3,30.6,0
2006-05-22,31.15,31.15,30.8,30.85,0
2006-05-24,30.85,32.0,30.8,31.65,0
2006-05-25,32.0,32.0,31.0,31.5,0
2006-05-26,31.7,31.8,31.4,31.6,0
2006-05-29,31.6,31.75,31.2,31.2,0
2006-05-30,31.2,31.3,30.5,30.5,0
