Date,Open,High,Low,Close,Volume
2006/2/8,29.1,29.2,28.4,28.5,0
2006/2/9,28.4,28.45,27.95,28.1,0
2006/2/10,28.1,28.6,28.05,28.15,0
2006/2/13,28.15,28.15,27.8,28,0
2006/2/14,28,28.5,28,28.4,0
2006/2/15,28.4,28.6,28.25,28.25,0
2006/2/16,28.15,28.5,28.1,28.4,0
2006/2/17,28.4,28.5,28.3,28.3,0
2006/2/20,28.35,28.85,28.35,28.85,0
2006/2/21,29.2,29.25,28.8,28.8,0
2006/2/22,29.2,29.2,28.3,28.7,0
2006/2/23,28.75,29.15,28.5,28.8,0
2006/2/24,28.8,29.1,28.7,29.05,0
2006/2/27,29.05,29.55,28.75,29.55,0
2006/3/1,29.2,29.7,29.15,29.7,0
2006/3/2,29.7,29.7,29.25,29.3,0
2006/3/3,29.5,29.6,28.75,28.8,0
2006/3/6,28.8,29,28.7,28.75,0
2006/3/7,28.8,29.1,28.75,28.8,0
2006/3/8,28.8,29.1,28.8,28.95,0
2006/3/9,29,29.3,29,29.3,0
2006/3/10,29.25,29.3,28.7,28.8,0
2006/3/13,28.8,29.15,28.8,29.05,0
2006/3/14,29.1,29.15,28.7,29.15,0
2006/3/15,29.15,29.2,28.85,29,0
2006/3/16,29,29.1,28.7,28.85,0
2006/3/17,29.05,29.15,28.95,29.1,0
2006/3/20,29.3,29.4,29.1,29.35,0
2006/3/21,29.35,29.4,28.9,28.9,0
2006/3/22,28.9,29,28.75,28.85,0
2006/3/23,28.9,28.95,28.8,28.9,0
2006/3/24,28.95,29.65,28.95,29.5,0
2006/3/27,29.6,30.7,29.6,30.5,0
2006/3/28,30.5,30.55,30.1,30.5,0
2006/3/29,30.5,30.5,30.2,30.3,0
2006/3/30,30.3,30.45,30,30.3,0
2006/3/31,30.3,30.6,30.3,30.4,0
2006/4/3,30.45,31.2,30.45,30.95,0
2006/4/4,31,31.1,30.75,30.95,0
2006/4/6,31,31.05,30.75,31,0
2006/4/7,31,31,30.75,30.9,0
2006/4/10,30.95,31.55,30.9,31.2,0
2006/4/11,31.2,31.6,30.95,31.6,0
2006/4/12,31.6,31.65,30.95,31.4,0
2006/4/13,31.4,31.75,31.35,31.6,0
2006/4/14,31.6,32,31.6,31.95,0
2006/4/17,32,33,31.95,32.7,0
2006/4/18,32.75,32.8,31.9,32.3,0
2006/4/19,32.6,32.9,32.4,32.5,0
2006/4/20,32.5,32.7,32.2,32.2,0
2006/4/21,32.2,32.2,31.5,31.65,0
2006/4/24,31.55,32.05,31.4,31.95,0
2006/4/25,32.05,32.9,32.05,32.1,0
2006/4/26,32.45,32.6,32.3,32.55,0
2006/4/27,32.6,32.65,32.25,32.25,0
2006/4/28,31.9,32,30.55,31.15,0
2006/5/2,31.1,31.2,30.7,31.2,0
2006/5/3,31.3,31.6,31.2,31.6,0
2006/5/4,31.65,32.4,31.35,32.1,0
2006/5/5,32.1,32.4,31.65,32,0
2006/5/8,32.1,32.35,32.05,32.15,0
2006/5/9,32.1,32.3,31.65,31.9,0
2006/5/10,31.7,32.1,31.7,32,0
2006/5/11,31.7,32.3,31.7,32.25,0
2006/5/12,32.25,32.3,31.9,32.25,0
2006/5/15,32,32.05,31.45,31.45,0
2006/5/16,31.4,31.4,30.5,30.6,0
2006/5/17,30.6,31.2,30.55,31.1,0
2006/5/18,30.3,30.65,30,30.3,0
2006/5/19,30.3,31.2,30.3,30.6,0
2006/5/22,31.15,31.15,30.8,30.85,0
2006/5/24,30.85,32,30.8,31.65,0
2006/5/25,32,32,31,31.5,0
2006/5/26,31.7,31.8,31.4,31.6,0
2006/5/29,31.6,31.75,31.2,31.2,0
2006/5/30,31.2,31.3,30.5,30.5,0
2006/6/1,30.8,30.9,30.6,30.8,0
2006/6/2,31,31.05,30.6,30.9,0
2006/6/5,30.9,31,30.3,30.35,0
2006/6/6,30.3,30.75,30.15,30.6,0
2006/6/7,30.6,30.6,30.3,30.5,0
2006/6/8,30.4,30.45,29.9,30,0
2006/6/9,30,30.4,29.9,30.15,0
2006/6/12,30.15,30.4,29.9,30.4,0
2006/6/13,30.3,30.3,30,30,0
2006/6/14,30,30.1,29.8,29.95,0
2006/6/15,30.05,30.15,29.95,30,0
2006/6/16,30.5,30.7,30.2,30.7,0
2006/6/19,30.7,31,30.5,31,0
2006/6/20,31,31.1,30.5,30.6,0
2006/6/21,30.95,31,30.7,31,0
2006/6/22,31.2,31.5,31.1,31.35,0
2006/6/23,31.2,31.4,30.9,31.15,0
2006/6/26,31.2,31.75,31.15,31.5,0
2006/6/27,31.8,31.8,31.4,31.7,0
2006/6/28,31.7,31.9,31.7,31.9,0
2006/6/29,32,32.1,31.9,32.1,0
2006/6/30,32.2,32.4,31.9,32.1,0
2006/7/3,32.1,32.3,32.1,32.2,0
2006/7/4,32.25,32.5,32.2,32.2,0
2006/7/5,32.2,32.3,32,32.2,0
2006/7/6,32.1,32.15,31.9,32.05,0
2006/7/7,32,32.2,31.9,32.1,0
2006/7/10,32.1,32.5,31.9,32.45,0
2006/7/11,32.45,32.55,32.3,32.3,0
2006/7/12,32.15,32.3,31.5,31.7,0
2006/7/13,31.5,31.5,31,31.05,0
2006/7/14,30.5,30.65,29.9,30.35,0
2006/7/17,30.2,30.35,30,30.2,0
2006/7/18,30.1,30.6,29.95,30.5,0
2006/7/19,30.65,30.65,30.2,30.2,0
2006/7/20,30.65,30.65,30.5,30.6,0
2006/7/21,30.6,30.75,30.5,30.5,0
2006/7/24,30.5,30.85,30.5,30.8,0
2006/7/25,31,31.25,30.95,31.1,0
2006/7/26,26.2,27,26.2,26.35,0
2006/7/27,26.35,26.45,26.1,26.3,0
2006/7/28,26.3,26.45,26.25,26.3,0
2006/7/31,26.35,26.4,26.2,26.3,0
2006/8/1,26.3,26.35,26.1,26.1,0
2006/8/2,26.1,26.1,26,26,0
2006/8/3,26,26.3,26,26.15,0
2006/8/4,26.25,26.35,26.05,26.15,0
2006/8/7,26.15,26.25,26.05,26.05,0
